,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
43,2020-08-04,"Đường Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,49 m²,NaN,4 m,"36,73 triệu/m²"
44,2020-08-04,"4, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,33 m²,9 m,4 m,"80,3 triệu/m²"
45,2020-08-04,"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,38 m²,NaN,NaN,"73,68 triệu/m²"
46,2020-08-04,"Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,32 m²,NaN,4 m,"96,88 triệu/m²"
47,2020-08-04,"Đường Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,120 m²,NaN,7 m,125 triệu/m²
48,2020-08-04,"văn phu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,Đang chờ sổ,3,5 phòng,200 m²,22 m,9 m,"47,25 triệu/m²"
49,2020-08-04,"Đường Núi Trúc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Trúc Bạch,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,18 m²,NaN,NaN,"69,44 triệu/m²"
50,2020-08-04,"88, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,47 m²,NaN,NaN,"57,45 triệu/m²"
51,2020-08-04,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,8,7 phòng,55 m²,NaN,NaN,"309,09 triệu/m²"
52,2020-08-04,"đức giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,36 m²,NaN,NaN,"61,67 triệu/m²"
53,2020-08-04,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,50 m²,NaN,5 m,130 triệu/m²
54,2020-08-04,"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,51 m²,6.6 m,3.5 m,"62,75 triệu/m²"
55,2020-08-04,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,Nhà phố liền kề,NaN,NaN,4 phòng,32 m²,NaN,3 m,"56,25 triệu/m²"
56,2020-08-04,"Đường Chùa Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,nhiều hơn 10 phòng,70 m²,17 m,4 m,"114,29 triệu/m²"
57,2020-08-04,"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,42 m²,NaN,NaN,"105,95 triệu/m²"
58,2020-08-04,"tả thanh oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,30 m²,10 m,3 m,"61,67 triệu/m²"
59,2020-08-04,"Đường Xã Đàn 2, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,30 m²,NaN,NaN,50 triệu/m²
60,2020-08-04,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,40 m²,NaN,NaN,"98,75 triệu/m²"
61,2020-08-04,"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,36 m²,9 m,4 m,"59,72 triệu/m²"
62,2020-08-04,"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,30 m²,NaN,NaN,"91,67 triệu/m²"
63,2020-08-04,"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,9 phòng,77 m²,17 m,4 m,"2,08 triệu/m²"
64,2020-08-04,"Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,34 m²,NaN,NaN,"120,59 triệu/m²"
65,2020-08-04,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3 phòng,27 m²,NaN,NaN,"72,22 triệu/m²"
66,2020-08-04,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,34 m²,8.5 m,4 m,"104,41 triệu/m²"
67,2020-08-04,"Đường Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,40 m²,NaN,NaN,65 triệu/m²
68,2020-08-04,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,30 m²,9 m,3.4 m,"82,67 triệu/m²"
69,2020-08-04,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,NaN,NaN,"114,29 triệu/m²"
70,2020-08-04,"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,18 m²,6 m,3.2 m,"105,56 triệu/m²"
71,2020-08-04,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,33 m²,11 m,3 m,"136,36 triệu/m²"
72,2020-08-04,"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,60 m²,NaN,NaN,225 triệu/m²
73,2020-08-04,"Lĩnh nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,30 m²,NaN,NaN,75 triệu/m²
74,2020-08-04,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,32 m²,8 m,4 m,"81,25 triệu/m²"
75,2020-08-04,"Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,40 m²,NaN,NaN,"77,5 triệu/m²"
76,2020-08-04,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,32 m²,11 m,3.2 m,"89,06 triệu/m²"
77,2020-08-04,"Xuân Đinh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,81 m²,22.5 m,3.6 m,"39,51 triệu/m²"
78,2020-08-04,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,20 m²,6.5 m,3 m,"97,5 triệu/m²"
79,2020-08-04,"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,54 m²,NaN,NaN,"101,85 triệu/m²"
80,2020-08-04,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,60 m²,NaN,NaN,"109,17 triệu/m²"
81,2020-08-04,"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,40 m²,NaN,NaN,"68,75 triệu/m²"
82,2020-08-04,"1, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,45 m²,NaN,NaN,"133,33 triệu/m²"
83,2020-08-04,"Nguyễn Thái Học, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,Thị trấn Phùng,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,40 m²,NaN,NaN,"36,25 triệu/m²"
84,2020-08-04,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3 phòng,28 m²,NaN,NaN,70 triệu/m²
85,2020-08-04,"Đường Đê La Thành, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,28 m²,7 m,3.9 m,100 triệu/m²
86,2020-08-04,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,40 m²,NaN,NaN,"136,25 triệu/m²"
87,2020-08-04,"Đường Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phúc Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,42 m²,NaN,3.25 m,"67,86 triệu/m²"
88,2020-08-04,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,32 m²,NaN,4 m,"84,38 triệu/m²"
89,2020-08-04,"Đường Trung Phụng, Phường Trung Phụng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,55 m²,NaN,NaN,"54,55 triệu/m²"
90,2020-08-04,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,38 m²,NaN,4 m,"65,79 triệu/m²"
91,2020-08-04,"Đường Đền Lừ 1, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,38 m²,9.5 m,4 m,"131,58 triệu/m²"
92,2020-08-04,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,49 m²,20 m,53 m,"80,61 triệu/m²"
93,2020-08-04,"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Cầu Diễn,Nhà phố liền kề,Đã có sổ,5,4 phòng,113 m²,NaN,8 m,247.787 đ/m²
94,2020-08-04,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,55 m²,9.2 m,6 m,60 triệu/m²
95,2020-08-04,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,30 m²,4 m,7.55 m,"118,33 triệu/m²"
96,2020-08-04,"Văn Phú, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,37 m²,10 m,3.7 m,"53,51 triệu/m²"
97,2020-08-04,"Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,76 m²,NaN,NaN,"61,18 triệu/m²"
98,2020-08-04,"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,1,1 phòng,45 m²,10 m,4.5 m,"71,11 triệu/m²"
99,2020-08-04,"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,62 m²,NaN,NaN,"125,81 triệu/m²"
100,2020-08-04,"Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,41 m²,NaN,4.3 m,"207,32 triệu/m²"
101,2020-08-04,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,46 m²,NaN,NaN,"81,52 triệu/m²"
102,2020-08-04,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,11 m²,3 m,4 m,"131,82 triệu/m²"
103,2020-08-04,Đường Bằng B,Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,44 m²,NaN,4 m,"89,77 triệu/m²"
